Senator,State,Party,Pro-Environment-Rating
"Britt, Katie",AL,R,0.0
"Tuberville, Tommy",AL,R,0.04225352112676056
"Murkowski, Lisa A.",AK,R,0.20454545454545456
"Sullivan, Dan",AK,R,0.10059171597633136
"Kelly, Mark",AZ,D,0.9295774647887324
"Sinema, Kyrsten",AZ,I,0.8297872340425532
"Boozman, John N.",AR,R,0.10377358490566038
"Cotton, Tom",AR,R,0.05325443786982249
"Butler, Laphonza",CA,D,1.0
"Padilla, Alex",CA,D,0.9565217391304348
"Bennet, Michael",CO,D,0.9066666666666666
"Hickenlooper, John",CO,D,0.9428571428571428
"Blumenthal, Richard",CT,D,0.9764150943396226
"Murphy, Chris S.",CT,D,0.9732620320855615
"Carper, Tom",DE,D,0.9069069069069069
"Coons, Chris",DE,D,0.9436619718309859
"Rubio, Marco",FL,R,0.07075471698113207
"Scott, Rick",FL,R,0.05319148936170213
"Ossoff, Jon",GA,D,0.9710144927536232
"Warnock, Raphael",GA,D,0.9855072463768116
"Hirono, Mazie K.",HI,D,0.9836956521739131
"Schatz, Brian Emanuel",HI,D,0.9732620320855615
"Crapo, Michael D.",ID,R,0.07449856733524356
"Risch, Jim",ID,R,0.08260869565217391
"Duckworth, Tammy",IL,D,0.9763779527559056
"Durbin, Dick",IL,D,0.967032967032967
"Braun, Mike",IN,R,0.09574468085106383
"Young, Todd",IN,R,0.14173228346456693
"Ernst, Joni",IA,R,0.08284023668639054
"Grassley, Chuck E.",IA,R,0.1524163568773234
"Marshall, Roger",KS,R,0.056338028169014086
"Moran, Jerry",KS,R,0.08490566037735849
"McConnell, Mitch",KY,R,0.08757637474541752
"Paul, Rand",KY,R,0.08490566037735849
"Cassidy, Bill",LA,R,0.08875739644970414
"Kennedy, John Neely",LA,R,0.06299212598425197
"Collins, Susan M.",ME,R,0.5521978021978022
"King, Angus",ME,I,0.9144385026737968
"Cardin, Benjamin L.",MD,D,0.9803921568627451
"Van Hollen, Chris",MD,D,0.9841269841269841
"Markey, Ed",MA,D,0.9714285714285714
"Warren, Elizabeth",MA,D,0.9572192513368984
"Peters, Gary C.",MI,D,0.9821428571428571
"Stabenow, Debbie",MI,D,0.9216867469879518
"Klobuchar, Amy",MN,D,0.9296875
"Smith, Tina",MN,D,0.9814814814814815
"Hyde-Smith, Cindy",MS,R,0.1308411214953271
"Wicker, Roger F.",MS,R,0.1078838174273859
"Hawley, Joshua",MO,R,0.0425531914893617
"Schmitt, Eric",MO,R,0.0
"Daines, Steve",MT,R,0.10650887573964497
"Tester, Jon",MT,D,0.8862745098039215
"Fischer, Deb",NE,R,0.0748663101604278
"Ricketts, Pete",NE,R,0.0
"Cortez Masto, Catherine",NV,D,0.9606299212598425
"Rosen, Jacky",NV,D,0.967741935483871
"Hassan, Margaret Wood",NH,D,0.9763779527559056
"Shaheen, Jeanne",NH,D,0.9565217391304348
"Booker, Cory Anthony",NJ,D,0.9595375722543352
"Menendez, Robert",NJ,D,0.9771863117870723
"Heinrich, Martin T.",NM,D,0.9518716577540107
"Luján, Ben Ray",NM,D,0.971830985915493
"Gillibrand, Kirsten E.",NY,D,0.9781659388646288
"Schumer, Chuck",NY,D,0.9684813753581661
"Budd, Ted",NC,R,0.0
"Tillis, Thom",NC,R,0.11834319526627218
"Cramer, Kevin",ND,R,0.13829787234042554
"Hoeven, John",ND,R,0.09905660377358491
"Brown, Sherrod C.",OH,D,0.953125
"Vance, J.D.",OH,R,0.0
"Lankford, James",OK,R,0.05917159763313609
"Mullin, Markwayne",OK,R,0.0
"Merkley, Jeff",OR,D,0.9868995633187773
"Wyden, Ron",OR,D,0.9496021220159151
"Casey, Bob",PA,D,0.93359375
"Fetterman, John",PA,D,0.8
"Reed, Jack",RI,D,0.9835164835164835
"Whitehouse, Sheldon",RI,D,0.9765625
"Graham, Lindsey O.",SC,R,0.17207792207792208
"Scott, Tim",SC,R,0.053475935828877004
"Rounds, Mike",SD,R,0.09202453987730061
"Thune, John R.",SD,R,0.10247349823321555
"Blackburn, Marsha",TN,R,0.0851063829787234
"Hagerty, Bill",TN,R,0.056338028169014086
"Cornyn, John",TX,R,0.06818181818181818
"Cruz, Ted",TX,R,0.026881720430107527
"Lee, Mike",UT,R,0.08056872037914692
"Romney, Mitt",UT,R,0.1595744680851064
"Sanders, Bernie",VT,I,0.8901960784313725
"Welch, Peter F.",VT,D,1.0
"Kaine, Timothy",VA,D,0.9679144385026738
"Warner, Mark R.",VA,D,0.9126637554585153
"Cantwell, Maria",WA,D,0.9545454545454546
"Murray, Patty",WA,D,0.9234449760765551
"Capito, Shelley Moore",WV,R,0.13609467455621302
"Manchin III, Joe",WV,D,0.539906103286385
"Baldwin, Tammy",WI,D,0.9837837837837838
"Johnson, Ron",WI,R,0.06132075471698113
"Barrasso, John",WY,R,0.07346938775510205
"Lummis, Cynthia M.",WY,R,0.08571428571428572
